title;attribute;character;event;unit;rarity;availability;trained_image;untrained_image;release_date;
A Touch of Kindness on Your Trembling Back;Mysterious;Yoisaki Kanade;Saying Goodbye to My Persona;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/93/Kanade_26_trained_art.png/609px-Kanade_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/ec/Kanade_26_art.png/609px-Kanade_26_art.png;2023/07/11;
A Figure That Can't Be Seen;Mysterious;Shinonome Ena;Saying Goodbye to My Persona;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/fa/Ena_27_trained_art.png/609px-Ena_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3a/Ena_27_art.png/609px-Ena_27_art.png;2023/07/11;
Long-Awaited Notification;Pure;Akiyama Mizuki;Saying Goodbye to My Persona;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/c6/Mizuki_25_trained_art.png/609px-Mizuki_25_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/24/Mizuki_25_art.png/609px-Mizuki_25_art.png;2023/07/11;
Growing Fear;Happy;Megurine Luka;Saying Goodbye to My Persona;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/9d/Luka_26_art.png/657px-Luka_26_art.png;2023/07/11;
Happy Birthday!! 2023;Mysterious;Kusanagi Nene;Birthday Gacha;Wonderlands×Showtime;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/a/ad/Nene_25_art.png/609px-Nene_25_art.png;2023/07/20;
A Vow Kept in One's Heart;Cool;Hoshino Ichika;Connected by Our Stellar Song;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/d4/Ichika_25_trained_art.png/609px-Ichika_25_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/2c/Ichika_25_art.png/609px-Ichika_25_art.png;2023/07/21;
Because Today Is Special;Cool;Hinomori Shiho;Connected by Our Stellar Song;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Shiho_26_trained_art.png/609px-Shiho_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/0b/Shiho_26_art.png/609px-Shiho_26_art.png;2023/07/21;
Watching Over the Path They Have Taken;Cool;KAITO;Connected by Our Stellar Song;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/c8/KAITO_26_trained_art.png/609px-KAITO_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/5a/KAITO_26_art.png/609px-KAITO_26_art.png;2023/07/21;
With Everyone Who Has Been Supporting Us;Happy;Mochizuki Honami;Connected by Our Stellar Song;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a5/Honami_28_trained_art.png/609px-Honami_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f6/Honami_28_art.png/609px-Honami_28_art.png;2023/07/21;
Gather Up, Everyone~! For Our Thank-You Live Concert!;Cute;Tenma Saki;Connected by Our Stellar Song;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/8e/Saki_26_art.png/657px-Saki_26_art.png;2023/07/21;
Happy Birthday!! 2023;Cool;Shiraishi An;Birthday Gacha;Vivid BAD SQUAD;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/d/d8/An_24_art.png/609px-An_24_art.png;2023/07/26;
The Charming Happy Gobble Up!;Mysterious;Momoi Airi;Hectic Cafe ?REC!!;MORE MORE JUMP!;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/c/ca/Airi_26_trained_art.png/609px-Airi_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/73/Airi_26_art.png/609px-Airi_26_art.png;2023/07/31;
From Behind the Partitions;Mysterious;Tenma Saki;Hectic Cafe ?REC!!;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/d/df/Saki_27_trained_art.png/609px-Saki_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/bd/Saki_27_art.png/609px-Saki_27_art.png;2023/07/31;
Food Arrangement Is All OK!;Mysterious;Akiyama Mizuki;Hectic Cafe ?REC!!;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/d/d6/Mizuki_26_trained_art.png/609px-Mizuki_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/0e/Mizuki_26_art.png/609px-Mizuki_26_art.png;2023/07/31;
3-Step Use of Delicious;Mysterious;Hanasato Minori;Hectic Cafe ?REC!!;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/c6/Minori_24_trained_art.png/609px-Minori_24_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f9/Minori_24_art.png/609px-Minori_24_art.png;2023/07/31;
Together With Big Sis ?;Cool;Otori Emu;Hectic Cafe ?REC!!;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/ce/Emu_24_art.png/657px-Emu_24_art.png;2023/07/31;
With My Own Words;Pure;Azusawa Kohane;On Your Feet;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/fd/Kohane_26_trained_art.png/609px-Kohane_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3a/Kohane_26_art.png/609px-Kohane_26_art.png;2023/08/10;
Coordination in Progress!;Pure;Shinonome Akito;On Your Feet;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/3d/Akito_26_trained_art.png/609px-Akito_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/5a/Akito_26_art.png/609px-Akito_26_art.png;2023/08/10;
First Hospital Visit in a While;Pure;Aoyagi Toya;On Your Feet;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/fc/Toya_25_trained_art.png/609px-Toya_25_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9f/Toya_25_art.png/609px-Toya_25_art.png;2023/08/10;
Sometimes on Days Like These;Happy;Shiraishi An;On Your Feet;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e6/An_25_trained_art.png/609px-An_25_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3c/An_25_art.png/609px-An_25_art.png;2023/08/10;
Because of Those Dazzling Eyes;Mysterious;Hatsune Miku;On Your Feet;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/6b/Miku_35_art.png/657px-Miku_35_art.png;2023/08/10;
Happy Birthday!! 2023;Pure;Hoshino Ichika;Birthday Gacha;Leo/need;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/0/00/Ichika_26_art.png/609px-Ichika_26_art.png;2023/08/11;
To a World Full of Smiles;Happy;Otori Emu;Our Happy Ending;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9c/Emu_25_trained_art.png/609px-Emu_25_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/ec/Emu_25_art.png/609px-Emu_25_art.png;2023/08/21;
All of Your Sadness;Happy;Kusanagi Nene;Our Happy Ending;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/d4/Nene_26_trained_art.png/609px-Nene_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/71/Nene_26_art.png/609px-Nene_26_art.png;2023/08/21;
Storyteller of Happiness;Happy;MEIKO;Our Happy Ending;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/67/MEIKO_25_trained_art.png/609px-MEIKO_25_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/0b/MEIKO_25_art.png/609px-MEIKO_25_art.png;2023/08/21;
Midnight Conflict;Cool;Kamishiro Rui;Our Happy Ending;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/db/Rui_26_trained_art.png/609px-Rui_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/7a/Rui_26_art.png/609px-Rui_26_art.png;2023/08/21;
Thank-You Greetings;Cool;Tenma Tsukasa;Our Happy Ending;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/bb/Tsukasa_25_art.png/657px-Tsukasa_25_art.png;2023/08/21;
Happy Birthday!! 2023;Cute;Akiyama Mizuki;Birthday Gacha;25-ji, Nightcord de.;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/c/c5/Mizuki_27_art.png/609px-Mizuki_27_art.png;2023/08/27;
Happy Anniversary!! 2023;Mysterious;Hatsune Miku;Birthday Gacha;VIRTUAL SINGER;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/f/fe/Miku_36_art.png/609px-Miku_36_art.png;2023/08/31;
The Sparkling Magic of Smiles;Cute;Hatsune Miku;Let Your Song Resound Throughout the SEKAI!;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/0/00/Miku_37_trained_art.png/609px-Miku_37_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a9/Miku_37_art.png/609px-Miku_37_art.png;2023/08/31;
The Other Me;Cute;Kagamine Rin;Let Your Song Resound Throughout the SEKAI!;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/c/c6/Rin_27_trained_art.png/609px-Rin_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/50/Rin_27_art.png/609px-Rin_27_art.png;2023/08/31;
Performing With All My Heart and Soul;Cute;Kagamine Len;Let Your Song Resound Throughout the SEKAI!;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/7/73/Len_28_trained_art.png/609px-Len_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/72/Len_28_art.png/609px-Len_28_art.png;2023/08/31;
To Show One's Brilliance;Cute;Megurine Luka;Let Your Song Resound Throughout the SEKAI!;VIRTUAL SINGER;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/e/e7/Luka_27_trained_art.png/609px-Luka_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/66/Luka_27_art.png/609px-Luka_27_art.png;2023/08/31;
Even if It's Just for a Little Bit;Happy;MEIKO;Let Your Song Resound Throughout the SEKAI!;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/13/MEIKO_26_trained_art.png/609px-MEIKO_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d0/MEIKO_26_art.png/609px-MEIKO_26_art.png;2023/08/31;
Hidden Motive;Happy;KAITO;Let Your Song Resound Throughout the SEKAI!;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f4/KAITO_27_art.png/657px-KAITO_27_art.png;2023/08/31;
Happy Birthday!! 2023;Pure;Otori Emu;Birthday Gacha;Wonderlands×Showtime;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/e/e4/Emu_26_art.png/609px-Emu_26_art.png;2023/09/09;
Embracing the Memories;Happy;Tenma Saki;Weaving Precious Memories With You;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a3/Saki_28_trained_art.png/609px-Saki_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Saki_28_art.png/609px-Saki_28_art.png;2023/09/11;
Unbeatable Gaze;Happy;Hinomori Shiho;Weaving Precious Memories With You;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/98/Shiho_27_trained_art.png/609px-Shiho_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/58/Shiho_27_art.png/609px-Shiho_27_art.png;2023/09/11;
Knockout Teamwork!;Happy;Kiritani Haruka;Weaving Precious Memories With You;MORE MORE JUMP!;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/0/04/Haruka_26_trained_art.png/609px-Haruka_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/cc/Haruka_26_art.png/609px-Haruka_26_art.png;2023/09/11;
Sweet Memories~;Happy;Otori Emu;Weaving Precious Memories With You;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/0/06/Emu_27_trained_art.png/609px-Emu_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/e/eb/Emu_27_art.png/609px-Emu_27_art.png;2023/09/11;
Lots and Lots of Love for My Precious Junior~;Cute;Momoi Airi;Weaving Precious Memories With You;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/86/Airi_27_art.png/657px-Airi_27_art.png;2023/09/11;
Your Smile Gets a Gold Star Too!;Cool;Shiraishi An;Let's study hard!;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e3/An_26_trained_art.png/609px-An_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/8b/An_26_art.png/609px-An_26_art.png;2023/09/20;
Evening Discussion;Cool;Kamishiro Rui;Let's study hard!;Wonderlands×Showtime;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/b/b2/Rui_27_trained_art.png/609px-Rui_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/28/Rui_27_art.png/609px-Rui_27_art.png;2023/09/20;
A Detour for Us Two;Cool;Akiyama Mizuki;Let's study hard!;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/b/b8/Mizuki_28_trained_art.png/609px-Mizuki_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/7f/Mizuki_28_art.png/609px-Mizuki_28_art.png;2023/09/20;
Leave It To Me!;Pure;Tenma Tsukasa;Let's study hard!;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/37/Tsukasa_26_trained_art.png/609px-Tsukasa_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/46/Tsukasa_26_art.png/609px-Tsukasa_26_art.png;2023/09/20;
Late Night Learning!;Mysterious;Shinonome Akito;Let's study hard!;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f2/Akito_27_art.png/657px-Akito_27_art.png;2023/09/20;
Brand New Style;Cool;Hoshino Ichika;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/58/Ichika_27_art.png/657px-Ichika_27_art.png;2023/09/30;
Brand New Style;Cute;Tenma Saki;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/97/Saki_29_art.png/657px-Saki_29_art.png;2023/09/30;
Brand New Style;Mysterious;Mochizuki Honami;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/1/1e/Honami_29_art.png/657px-Honami_29_art.png;2023/09/30;
Brand New Style;Happy;Hinomori Shiho;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/a5/Shiho_28_art.png/657px-Shiho_28_art.png;2023/09/30;
Brand New Style;Happy;Hanasato Minori;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/c9/Minori_25_art.png/657px-Minori_25_art.png;2023/09/30;
Brand New Style;Cute;Kiritani Haruka;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/2e/Haruka_27_art.png/657px-Haruka_27_art.png;2023/09/30;
Brand New Style;Mysterious;Momoi Airi;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/fc/Airi_28_art.png/657px-Airi_28_art.png;2023/09/30;
Brand New Style;Pure;Hinomori Shizuku;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/95/Shizuku_27_art.png/657px-Shizuku_27_art.png;2023/09/30;
Brand New Style;Happy;Azusawa Kohane;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/d5/Kohane_27_art.png/657px-Kohane_27_art.png;2023/09/30;
Brand New Style;Cute;Shiraishi An;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/1/17/An_27_art.png/657px-An_27_art.png;2023/09/30;
Brand New Style;Cool;Shinonome Akito;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/7/73/Akito_28_art.png/657px-Akito_28_art.png;2023/09/30;
Brand New Style;Mysterious;Aoyagi Toya;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/87/Toya_26_art.png/657px-Toya_26_art.png;2023/09/30;
Brand New Style;Pure;Tenma Tsukasa;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/aa/Tsukasa_27_art.png/657px-Tsukasa_27_art.png;2023/09/30;
Brand New Style;Cool;Otori Emu;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/d4/Emu_28_art.png/657px-Emu_28_art.png;2023/09/30;
Brand New Style;Cute;Kusanagi Nene;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/3/3a/Nene_27_art.png/657px-Nene_27_art.png;2023/09/30;
Brand New Style;Happy;Kamishiro Rui;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/a4/Rui_28_art.png/657px-Rui_28_art.png;2023/09/30;
Brand New Style;Pure;Yoisaki Kanade;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/cb/Kanade_27_art.png/657px-Kanade_27_art.png;2023/09/30;
Brand New Style;Cool;Asahina Mafuyu;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/95/Mafuyu_27_art.png/657px-Mafuyu_27_art.png;2023/09/30;
Brand New Style;Happy;Shinonome Ena;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/58/Ena_28_art.png/657px-Ena_28_art.png;2023/09/30;
Brand New Style;Cute;Akiyama Mizuki;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/eb/Mizuki_29_art.png/657px-Mizuki_29_art.png;2023/09/30;
Origin Style;Pure;Hatsune Miku;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/20/Miku_38_art.png/657px-Miku_38_art.png;2023/09/30;
Origin Style;Cool;Kagamine Rin;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Rin_28_art.png/657px-Rin_28_art.png;2023/09/30;
Origin Style;Mysterious;Kagamine Len;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/de/Len_29_art.png/657px-Len_29_art.png;2023/09/30;
Origin Style;Cute;Megurine Luka;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/6d/Luka_28_art.png/657px-Luka_28_art.png;2023/09/30;
Origin Style;Happy;MEIKO;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/ff/MEIKO_27_art.png/657px-MEIKO_27_art.png;2023/09/30;
Origin Style;Pure;KAITO;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e1/KAITO_28_art.png/657px-KAITO_28_art.png;2023/09/30;
Brand New Classroom;Cool;Hatsune Miku;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/d7/Miku_39_art.png/657px-Miku_39_art.png;2023/09/30;
Brand New Stage;Happy;Hatsune Miku;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/b1/Miku_40_art.png/657px-Miku_40_art.png;2023/09/30;
Brand New Street;Cute;Hatsune Miku;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/de/Miku_41_art.png/657px-Miku_41_art.png;2023/09/30;
Brand New Wonderland;Mysterious;Hatsune Miku;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/87/Miku_42_art.png/657px-Miku_42_art.png;2023/09/30;
Brand New Empty;Pure;Hatsune Miku;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/0/08/Miku_43_art.png/657px-Miku_43_art.png;2023/09/30;
Brand New Classroom;Pure;Megurine Luka;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e3/Luka_29_art.png/657px-Luka_29_art.png;2023/09/30;
Brand New Stage;Mysterious;Kagamine Rin;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e1/Rin_29_art.png/657px-Rin_29_art.png;2023/09/30;
Brand New Street;Happy;Kagamine Len;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/dd/Len_30_art.png/657px-Len_30_art.png;2023/09/30;
Brand New Street;Cool;MEIKO;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/56/MEIKO_28_art.png/657px-MEIKO_28_art.png;2023/09/30;
Brand New Wonderland;Happy;KAITO;Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/2f/KAITO_29_art.png/657px-KAITO_29_art.png;2023/09/30;
With That Name in My Heart;Mysterious;MEIKO;Colorful Festival Gacha;VIRTUAL SINGER;4.0;Colorful Festival limited;//static.wikitide.net/projectsekaiwiki/thumb/3/32/MEIKO_29_trained_art.png/657px-MEIKO_29_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/87/MEIKO_29_art.png/657px-MEIKO_29_art.png;2023/09/30;
A Song That Soothes Your Frustration;Cute;KAITO;Colorful Festival Gacha;VIRTUAL SINGER;4.0;Colorful Festival limited;//static.wikitide.net/projectsekaiwiki/thumb/a/a7/KAITO_30_trained_art.png/657px-KAITO_30_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3e/KAITO_30_art.png/657px-KAITO_30_art.png;2023/09/30;
The Beginning of Something New;Cute;Hoshino Ichika;Hello?Good?Day!;Leo/need;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Ichika_28_trained_art.png/657px-Ichika_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f3/Ichika_28_art.png/657px-Ichika_28_art.png;2023/09/30;
Her Back That Makes Me Curious;Cute;Hanasato Minori;Hello?Good?Day!;MORE MORE JUMP!;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/a/ad/Minori_26_trained_art.png/657px-Minori_26_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f5/Minori_26_art.png/657px-Minori_26_art.png;2023/09/30;
An Unexpected Classmate;Cute;Tenma Tsukasa;Hello?Good?Day!;Wonderlands×Showtime;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/5/5f/Tsukasa_28_trained_art.png/657px-Tsukasa_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/b2/Tsukasa_28_art.png/657px-Tsukasa_28_art.png;2023/09/30;
Opening Ceremony Held in a Classroom;Cute;Yoisaki Kanade;Hello?Good?Day!;25-ji, Nightcord de.;4.0;Limited;//static.wikitide.net/projectsekaiwiki/thumb/7/76/Kanade_28_trained_art.png/657px-Kanade_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/63/Kanade_28_art.png/657px-Kanade_28_art.png;2023/09/30;
Towards a New Morning;Cool;Azusawa Kohane;Hello?Good?Day!;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/e3/Kohane_28_trained_art.png/657px-Kohane_28_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/c/c8/Kohane_28_art.png/657px-Kohane_28_art.png;2023/09/30;
Happy Birthday!! 2023;Happy;Kiritani Haruka;Birthday Gacha;MORE MORE JUMP!;5.0;Birthday limited;;//static.wikitide.net/projectsekaiwiki/thumb/8/87/Haruka_28_art.png/657px-Haruka_28_art.png;2023/10/05;
Inheritance Flame;Cute;Shinonome Akito;BURN MY SOUL;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/3b/Akito_29_trained_art.png/657px-Akito_29_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/87/Akito_29_art.png/657px-Akito_29_art.png;2023/10/12;
So That I Don't Fall Asleep;Cute;Azusawa Kohane;BURN MY SOUL;Vivid BAD SQUAD;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/8c/Kohane_29_trained_art.png/657px-Kohane_29_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/29/Kohane_29_art.png/657px-Kohane_29_art.png;2023/10/12;
Unexpected Provocation;Cute;Megurine Luka;BURN MY SOUL;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/df/Luka_30_trained_art.png/657px-Luka_30_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a2/Luka_30_art.png/657px-Luka_30_art.png;2023/10/12;
A Brief Respite;Cool;Aoyagi Toya;BURN MY SOUL;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/7/74/Toya_27_trained_art.png/657px-Toya_27_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/1a/Toya_27_art.png/657px-Toya_27_art.png;2023/10/12;
Get In the Car!;Pure;Shiraishi An;BURN MY SOUL;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/c3/An_28_art.png/657px-An_28_art.png;2023/10/12;
The Sound of Beginning;Pure;Hinomori Shiho;Stick to your faith;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/fc/Shiho_29_trained_art.png/657px-Shiho_29_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/7a/Shiho_29_art.png/657px-Shiho_29_art.png;2023/10/22;
